"","Zuzanna","Julia","Lena","Maja","Hanna","Zofia","Amelia","Alicja","Aleksandra","Natalia","Oliwia","Maria","Wiktoria","Emilia","Antonina","Laura","Anna","Nadia","Pola","Liliana","Nikola","Gabriela"
"241",0,0,75,17,94,98,294,2,0,0,0,0,61,0,35,40,6,0,0,1,0,0
"242",0,0,76,20,49,100,94,4,0,0,0,0,40,0,33,30,8,0,0,1,0,0
"243",0,0,74,55,58,96,151,0,0,0,0,0,58,80,33,24,6,0,0,0,0,0
"244",0,0,60,40,87,93,0,2,0,0,0,0,94,2,7,0,6,1,0,0,0,0
"245",0,0,69,97,77,100,231,5,0,0,0,0,100,0,14,70,8,0,0,1,0,0
"246",0,0,65,25,91,91,302,0,0,0,0,0,67,11,44,45,2,0,0,0,0,0
"247",0,0,66,67,17,100,28,2,0,0,0,0,100,0,60,5,8,0,0,1,0,0
"248",0,0,76,59,62,100,110,0,0,0,0,0,83,0,53,32,8,0,0,1,0,0
"249",0,0,71,11,56,93,106,1,0,0,0,0,45,7,30,30,6,0,0,0,0,0
"250",0,0,69,30,79,100,207,1,0,0,0,0,57,0,73,22,8,0,0,1,0,0
"251",0,0,57,50,67,96,132,5,0,0,0,0,81,6,55,14,6,0,0,0,0,0
"252",0,0,71,19,126,84,392,0,0,0,0,0,60,9,79,19,5,0,0,0,0,0
"253",0,0,69,45,89,100,345,0,0,0,0,0,65,0,19,31,8,0,0,1,0,0
"254",1,1,20,0,0,20,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1
"255",0,0,70,53,68,94,188,1,0,0,0,0,80,17,47,17,2,0,0,0,0,0
"256",0,0,78,5,57,100,112,2,0,0,0,0,67,0,33,41,8,0,0,1,0,0
"257",0,0,84,32,77,100,133,2,0,0,0,0,60,0,38,32,7,0,0,1,0,0
"258",0,0,65,91,35,93,132,6,0,0,0,0,89,0,61,28,7,0,0,1,0,0
"259",0,0,72,20,76,100,154,2,0,0,0,0,48,0,13,12,8,0,0,1,0,0
"260",0,0,56,29,27,97,58,1,0,0,0,0,50,1,15,33,6,0,0,0,0,0
"261",0,0,92,1,137,100,325,0,0,0,0,0,38,0,31,16,8,0,0,1,0,0
"262",0,0,89,2,99,100,490,0,0,0,0,0,57,0,39,18,8,0,0,1,0,0
"263",1,1,20,0,0,20,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1
"264",0,0,68,65,68,100,210,2,0,0,0,0,67,0,31,26,8,0,0,1,0,0
"265",0,0,85,1,71,100,141,0,0,0,0,0,44,0,21,16,8,0,0,1,0,0
"266",0,0,83,25,45,100,130,2,0,0,0,0,44,0,44,16,8,0,0,1,0,0
"267",0,0,78,43,54,100,92,0,0,0,0,0,63,0,14,16,8,0,0,1,0,0
"268",0,0,80,3,40,100,98,1,0,0,0,0,40,0,27,30,8,0,0,1,0,0
"269",0,0,59,46,40,85,80,2,0,0,0,0,100,2,69,13,3,0,0,0,0,0
"270",0,0,74,3,51,97,149,3,0,0,0,0,19,20,15,33,5,0,0,0,0,0
"271",0,0,68,41,64,90,135,0,0,0,0,0,82,12,52,21,5,0,0,0,0,0
"272",0,0,67,68,43,100,169,3,0,0,0,0,82,0,16,28,8,0,0,1,0,0
"273",0,0,89,0,118,100,323,0,0,0,0,0,50,0,40,15,8,0,0,1,0,0
"274",1,1,20,0,0,20,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1
"275",0,0,73,47,81,100,167,4,0,0,0,0,73,0,38,29,8,0,0,1,0,0
"276",0,0,60,76,46,94,86,1,0,0,0,0,90,43,63,16,6,0,0,0,0,0
"277",0,0,50,13,63,59,130,0,0,0,0,0,88,1,12,17,2,0,0,0,0,0
"278",0,0,59,64,54,82,172,0,0,0,0,0,55,0,47,17,6,0,0,0,0,0
"279",0,0,72,6,57,97,188,3,0,0,0,0,65,34,56,36,6,0,0,0,0,0
"280",0,0,56,0,46,50,58,6,0,1,0,0,100,2,100,2,6,0,0,0,0,0
"281",0,0,77,32,92,94,180,0,0,0,0,0,67,37,56,25,6,0,0,0,0,0
"282",0,0,88,4,63,100,133,0,0,0,0,0,75,0,40,6,8,0,0,1,0,0
"283",0,0,79,30,72,100,178,1,0,0,0,0,29,0,9,11,8,0,0,1,0,0
"284",0,0,92,1,139,100,250,1,0,0,0,0,83,0,0,4,8,0,0,1,0,0
"285",0,0,71,1,39,97,71,0,0,0,0,0,26,11,13,32,6,0,0,0,0,0
"286",0,0,85,0,88,100,285,1,0,0,0,0,7,0,7,28,8,0,0,1,0,0
"287",0,0,72,58,44,92,78,0,0,0,0,0,86,55,15,13,3,0,0,0,0,0
"288",0,0,77,21,70,100,132,2,0,0,0,0,71,0,48,23,8,0,0,1,0,0
"289",0,0,80,6,86,100,390,0,0,0,0,0,44,0,24,29,8,0,0,1,0,0
"290",0,0,63,62,32,100,69,2,0,0,0,0,67,0,30,20,8,0,0,1,0,0
"291",0,0,86,13,125,100,212,0,0,0,0,0,43,0,25,12,8,0,0,1,0,0
"292",0,0,60,30,93,46,191,4,0,0,0,0,67,6,46,40,2,0,0,0,0,0
"293",0,0,85,0,77,93,231,0,0,0,0,0,38,67,20,15,5,0,0,0,0,0
