"","Zuzanna","Lena","Maja","Hanna","Zofia","Amelia","Alicja","Aleksandra","Natalia","Wiktoria","Emilia","Antonina","Laura","Anna","Nadia","Pola","Liliana","datProb1"
"46",0,78,71,109,100,246,0,0,0,43,0,40,15,8,0,0,1,1
"47",0,77,11,139,100,383,2,0,0,79,0,13,38,8,0,0,1,1
"48",0,69,81,99,100,180,3,0,0,78,0,20,19,8,0,0,1,2
"49",0,82,2,87,97,194,0,0,0,44,66,21,34,5,0,0,0,2
"50",0,70,71,66,97,217,2,0,0,82,49,52,33,6,0,0,0,1
"51",1,20,0,0,20,0,0,1,1,0,0,0,0,0,1,1,1,2
"52",0,56,86,28,88,72,2,0,0,100,41,25,8,2,0,0,0,2
"53",0,84,14,56,100,163,0,0,0,46,0,17,36,8,0,0,1,2
"54",0,85,5,85,100,251,1,0,0,42,0,41,29,8,0,0,1,1
"55",0,82,24,85,100,181,0,0,0,57,0,33,12,8,0,0,1,2
"56",0,65,62,77,98,268,1,0,0,83,49,24,42,2,0,0,0,1
"57",0,81,17,74,100,198,0,0,0,63,0,64,33,7,0,0,1,2
"58",0,89,0,110,100,342,0,0,0,0,0,63,8,8,0,0,1,1
"59",0,62,66,69,96,132,2,0,0,88,52,41,27,6,0,0,0,2
"60",0,59,72,70,63,279,1,0,0,86,7,25,8,6,0,0,0,1
"61",0,72,18,32,100,55,0,0,0,71,0,48,21,8,0,0,1,2
"62",0,66,48,42,100,76,2,0,0,80,0,38,8,8,0,0,1,2
"63",0,72,47,79,85,216,0,0,0,56,40,41,27,2,0,0,0,1
"64",0,85,37,106,100,142,0,0,0,100,0,0,4,8,0,0,1,2
"65",1,20,0,0,20,0,0,1,1,0,0,0,0,0,1,1,1,2
"66",0,75,88,92,100,183,0,0,0,93,0,27,22,8,0,0,1,2
"67",0,58,57,61,71,132,1,0,0,83,2,29,14,4,0,0,0,2
"68",0,74,75,75,100,183,4,0,0,88,0,31,13,8,0,0,1,2
"69",0,75,47,101,96,325,0,0,0,89,65,63,24,6,0,0,0,1
"70",0,62,20,60,79,161,1,0,0,47,4,16,19,5,0,0,0,2
"71",0,76,69,80,100,306,2,0,0,88,0,68,22,8,0,0,1,1
"72",0,66,104,36,100,121,3,0,0,100,0,29,7,8,0,0,1,2
"73",0,54,69,21,92,50,1,0,0,100,3,42,12,6,0,0,0,2
"74",0,52,92,87,84,169,3,0,0,83,5,32,37,6,0,0,0,2
"75",0,70,10,96,59,206,2,0,0,50,11,41,22,5,0,0,0,1
"76",0,69,51,111,71,257,1,0,0,80,0,43,14,5,0,0,0,1
"77",0,90,10,81,100,246,0,0,0,50,0,11,9,8,0,0,1,1
"78",0,85,7,56,100,151,0,0,0,60,0,25,21,8,0,0,1,2
"79",0,64,58,71,92,164,3,0,0,67,7,38,26,6,0,0,0,2
"80",0,72,2,100,82,184,0,0,0,60,1,18,5,6,0,0,0,2
"81",0,61,92,78,93,125,1,0,0,100,9,76,29,6,0,0,0,2
"82",0,58,95,66,85,184,3,0,0,100,22,44,57,5,0,0,0,2
"83",0,70,29,71,96,298,2,0,0,36,81,13,47,6,0,0,0,1
"84",0,72,4,44,100,131,0,0,0,86,0,47,18,8,0,0,1,2
"85",0,76,12,91,91,172,2,0,0,25,34,23,22,6,0,0,0,2
"86",0,63,76,84,82,405,0,0,0,80,57,35,17,5,0,0,0,1
"87",0,61,31,70,89,178,0,0,0,86,4,52,27,6,0,0,0,2
"88",0,81,6,41,100,101,2,0,0,83,0,42,12,8,0,0,1,2
"89",0,86,1,75,100,153,2,0,0,11,0,0,11,8,0,0,1,2
"90",1,20,0,0,20,0,0,1,1,0,0,0,0,0,1,1,1,2
"91",0,88,1,87,100,170,1,0,0,67,0,29,15,8,0,0,1,2
"92",0,71,44,65,95,196,0,0,0,78,3,47,20,6,0,0,0,2
"93",0,79,20,64,100,106,2,0,0,50,0,38,16,8,0,0,1,2
"94",0,74,26,77,100,192,0,0,0,60,0,11,28,8,0,0,1,2
"95",1,20,0,0,20,0,0,1,1,0,0,0,0,0,1,1,1,2
"96",0,70,19,124,96,0,3,0,0,54,76,32,0,6,1,0,0,2
"97",0,73,49,47,92,140,1,0,0,75,46,33,12,6,0,0,0,2
"98",1,20,0,0,20,0,0,1,1,0,0,0,0,0,1,1,1,2
"99",0,70,51,109,71,0,0,0,0,83,41,65,17,2,1,0,0,2
"100",0,79,42,77,100,181,3,0,0,78,0,43,21,8,0,0,1,2
"101",0,72,50,164,100,519,1,0,0,67,0,22,35,8,0,0,1,1
"102",0,82,12,82,100,189,1,0,0,44,0,44,16,8,0,0,1,2
"103",0,65,76,76,88,206,1,0,0,100,6,69,26,6,0,0,0,1
"104",0,72,28,26,100,79,1,0,0,69,0,27,15,8,0,0,1,2
"105",0,86,11,125,100,360,0,0,0,55,0,15,20,8,0,0,1,1
"106",0,61,73,64,89,289,2,0,0,57,8,39,18,6,0,0,0,1
"107",0,81,16,103,100,206,0,0,0,61,0,52,34,7,0,0,1,1
"108",0,68,66,37,100,166,5,0,0,67,0,25,16,8,0,0,1,2
"109",0,87,1,78,100,257,1,0,0,38,0,39,18,8,0,0,1,1
"110",0,85,1,71,100,176,4,0,0,50,0,34,32,7,0,0,1,2
"111",0,64,69,49,88,120,1,0,0,78,25,44,16,4,0,0,0,2
"112",0,62,30,81,74,197,1,0,0,50,3,22,18,3,0,0,0,2
"113",0,71,42,58,100,129,4,0,0,60,0,38,39,8,0,0,1,2
"114",0,60,36,53,74,199,1,0,0,70,2,17,23,6,0,0,0,2
"115",1,20,0,0,20,0,0,1,1,0,0,0,0,0,1,1,1,2
"116",0,72,2,71,82,389,2,0,0,75,8,64,11,5,0,0,0,1
"117",0,56,31,62,70,131,2,0,0,69,10,45,33,5,0,0,0,2
"118",0,89,5,90,100,199,0,0,0,75,0,62,26,8,0,0,1,1
"119",0,78,24,81,100,166,1,0,0,50,0,28,18,8,0,0,1,2
"120",0,70,28,79,98,252,7,0,0,40,24,32,56,6,0,0,0,1
"121",0,67,65,23,100,171,1,0,0,79,0,13,23,8,0,0,1,2
"122",0,70,16,136,91,460,5,0,0,75,23,50,44,5,0,0,0,1
"123",0,63,91,44,98,99,2,0,0,94,0,48,48,7,0,0,1,2
"124",0,81,18,79,100,230,1,0,0,57,0,25,24,8,0,0,1,1
"125",0,74,29,87,95,176,2,0,0,50,19,38,21,6,0,0,0,2
"126",0,59,124,78,76,146,1,0,0,100,13,41,17,5,0,0,0,2
"127",0,83,18,90,100,265,1,0,0,75,0,18,17,8,0,0,1,1
"128",1,20,0,0,20,0,0,1,1,0,0,0,0,0,1,1,1,2
"129",0,58,81,81,89,258,3,0,0,92,9,33,18,6,0,0,0,1
"130",0,59,66,9,100,15,1,0,0,63,0,25,8,8,0,0,1,2
"131",0,77,43,49,100,81,3,0,0,86,0,39,13,8,0,0,1,2
"132",0,63,0,35,83,78,1,0,1,100,4,67,6,6,0,0,0,2
"133",0,90,2,85,100,320,0,0,0,67,0,25,8,8,0,0,1,1
"134",0,69,36,105,90,209,2,0,0,63,28,24,6,6,0,0,0,1
"135",0,62,13,59,81,135,10,0,0,100,4,81,16,6,0,0,0,2
"136",0,74,0,28,100,47,0,0,1,100,0,43,7,8,0,0,1,2
"137",0,59,78,79,92,200,1,0,0,86,4,38,31,4,0,0,0,1
"138",0,54,61,147,73,424,4,0,0,89,19,27,12,2,0,0,0,1
"139",0,69,0,107,79,375,0,0,0,50,49,37,8,5,0,0,0,1
"140",0,65,85,121,78,154,0,0,0,100,16,33,5,2,0,0,0,2
"141",0,65,43,51,80,145,1,0,0,100,58,50,15,2,0,0,0,2
"142",0,64,51,69,89,199,2,0,0,67,18,20,20,6,0,0,0,2
"143",0,61,10,70,74,115,3,0,0,56,9,21,19,4,0,0,0,2
"144",0,78,0,54,100,110,3,0,0,50,0,52,27,8,0,0,1,2
"145",0,60,70,124,97,410,2,0,0,83,20,25,32,6,0,0,0,1
"146",0,70,59,76,100,270,0,0,0,54,0,7,14,8,0,0,1,1
"147",0,58,53,87,70,210,1,0,0,77,1,35,23,6,0,0,0,1
"148",0,79,0,83,89,201,0,0,0,33,37,44,18,6,0,0,0,1
"149",0,86,25,67,100,170,0,0,0,40,0,27,15,8,0,0,1,2
"150",0,87,41,120,100,42,0,0,0,50,0,33,12,8,0,0,1,2
"151",1,20,0,0,20,0,0,1,1,0,0,0,0,0,1,1,1,2
"152",0,74,15,102,100,311,2,0,0,48,0,20,41,8,0,0,1,1
"153",0,78,52,81,100,191,1,0,0,86,0,45,30,8,0,0,1,2
"154",1,20,0,0,20,0,0,1,1,0,0,0,0,0,1,1,1,2
"155",0,78,0,72,94,132,0,0,0,40,47,59,17,6,0,0,0,2
"156",0,89,10,137,100,344,1,0,0,63,0,25,20,8,0,0,1,1
"157",0,76,14,75,96,150,2,0,0,42,30,22,27,6,0,0,0,2
"158",0,87,0,121,86,328,0,0,0,0,43,14,7,6,0,0,0,1
"159",0,76,52,81,100,165,1,0,0,78,0,61,23,8,0,0,1,2
"160",0,77,19,71,100,173,0,0,0,50,0,31,42,8,0,0,1,2
"161",0,62,44,9,100,134,2,0,0,57,0,13,15,8,0,0,1,2
"162",0,77,4,89,94,267,0,0,0,50,45,29,35,6,0,0,0,1
"163",0,73,26,57,95,131,0,0,0,100,80,19,21,6,0,0,0,2
"164",0,67,60,122,88,332,0,0,0,77,23,55,33,5,0,0,0,1
"165",0,72,40,91,94,270,0,0,0,57,22,8,36,6,0,0,0,1
"166",0,74,93,85,100,254,1,0,0,100,0,50,10,8,0,0,1,1
"167",0,59,2,113,83,404,1,0,0,44,3,28,29,2,0,0,0,1
"168",0,68,29,66,85,133,0,0,0,100,0,69,13,6,0,0,0,2
"169",1,20,0,0,20,0,0,1,1,0,0,0,0,0,1,1,1,2
"170",0,57,23,164,85,361,0,0,0,73,14,27,19,2,0,0,0,1
"171",0,89,5,194,100,441,0,0,0,43,0,25,13,8,0,0,1,1
"172",0,63,42,88,94,252,2,0,0,57,5,17,18,6,0,0,0,1
"173",1,20,0,0,20,0,0,1,1,0,0,0,0,0,1,1,1,2
"174",0,86,10,117,100,257,0,0,0,71,0,45,29,7,0,0,1,1
"175",0,85,9,106,100,375,0,0,0,36,0,21,28,8,0,0,1,1
"176",0,59,15,55,98,90,2,0,0,60,3,33,22,6,0,0,0,2
"177",0,55,36,85,78,289,2,0,0,77,3,30,24,6,0,0,0,1
"178",0,76,25,79,93,203,0,0,0,80,69,29,14,6,0,0,0,1
"179",0,85,13,74,100,123,1,0,0,100,0,43,5,8,0,0,1,2
"180",0,69,35,52,97,218,5,0,0,70,54,41,29,6,0,0,0,1
"181",0,87,5,83,100,182,0,0,0,47,0,35,13,8,0,0,1,2
"182",0,76,13,38,94,82,1,0,0,36,0,31,16,6,0,0,1,2
"183",1,20,0,0,20,0,0,1,1,0,0,0,0,0,1,1,1,2
"184",0,67,42,53,100,204,0,0,0,54,0,42,40,8,0,0,1,2
"185",0,78,9,80,90,306,1,0,0,64,13,40,20,6,0,0,0,1
"186",0,78,19,41,100,156,3,0,0,71,0,38,13,8,0,0,1,2
"187",0,73,21,50,100,167,1,0,0,47,0,34,17,8,0,0,1,2
"188",0,70,22,81,98,209,0,0,0,55,60,16,56,6,0,0,0,1
"189",0,64,61,22,100,51,0,0,0,100,0,25,24,8,0,0,1,2
"190",0,79,15,79,96,180,0,0,0,73,56,4,32,5,0,0,0,2
"191",0,85,7,90,100,322,0,0,0,42,0,10,39,8,0,0,1,1
"192",0,82,18,71,100,163,0,0,0,55,0,29,28,8,0,0,1,2
"193",0,66,82,121,93,252,5,0,0,67,21,52,29,6,0,0,0,1
"194",1,20,0,0,20,0,0,1,1,0,0,0,0,0,1,1,1,2
"195",0,78,50,91,100,132,1,0,0,67,0,37,11,8,0,0,1,2
"196",1,20,0,0,20,0,0,1,1,0,0,0,0,0,1,1,1,2
"197",0,75,9,48,100,112,0,0,0,50,0,21,31,8,0,0,1,2
"198",0,65,66,49,100,140,0,0,0,100,0,58,12,8,0,0,1,2
"199",0,72,39,79,100,348,0,0,0,67,0,31,36,8,0,0,1,1
"200",0,80,0,122,100,342,3,0,0,43,0,28,39,8,0,0,1,1
"201",0,62,43,23,86,42,3,0,0,90,12,21,14,6,0,0,0,2
"202",0,77,8,51,100,268,0,0,0,100,0,0,18,8,0,0,1,1
"203",0,75,13,105,82,212,1,0,0,100,21,45,11,6,0,0,0,1
"204",0,73,19,128,95,305,0,0,0,69,8,39,38,3,0,0,0,1
"205",0,71,7,79,67,331,2,0,0,60,9,33,15,5,0,0,0,1
"206",0,76,20,137,97,214,1,0,0,71,18,25,36,6,0,0,0,1
"207",0,80,18,93,97,104,0,0,0,46,36,23,6,6,0,0,0,2
"208",0,87,4,46,100,130,0,0,0,40,0,12,26,8,0,0,1,2
"209",0,54,94,74,65,190,0,0,0,100,1,48,23,6,0,0,0,2
"210",0,72,63,69,100,228,2,0,0,78,0,38,16,8,0,0,1,1
"211",0,71,36,53,85,132,1,0,0,100,23,46,13,5,0,0,0,2
"212",0,65,0,63,80,120,5,0,1,100,18,80,10,5,0,0,0,2
"213",0,61,80,57,88,138,0,0,0,88,46,58,24,6,0,0,0,2
"214",0,63,10,87,100,207,2,0,0,46,0,20,20,8,0,0,1,1
"215",0,81,1,112,95,345,0,0,0,45,0,41,22,6,0,0,1,1
"216",0,85,0,63,100,177,0,0,0,56,0,27,11,8,0,0,1,2
"217",1,20,0,0,20,0,0,1,1,0,0,0,0,0,1,1,1,2
"218",0,72,29,16,100,0,0,0,0,67,0,50,6,8,1,0,1,2
"219",0,90,7,119,95,0,0,0,0,56,0,19,0,7,1,0,1,2
"220",0,70,7,165,95,150,3,0,0,46,1,37,10,6,0,0,0,2
"221",0,75,24,12,100,40,0,0,0,100,0,67,6,8,0,0,1,2
"222",0,61,60,101,83,189,4,0,0,71,6,39,18,6,0,0,0,2
"223",0,74,49,75,92,283,2,0,0,100,38,77,13,5,0,0,0,1
"224",0,61,30,74,89,140,1,0,0,100,4,59,37,2,0,0,0,2
"225",0,85,22,97,100,0,1,0,0,100,0,9,0,8,1,0,1,2
"226",0,87,19,110,100,210,0,0,0,60,0,50,10,8,0,0,1,1
"227",0,88,10,89,100,233,0,0,0,57,0,25,12,8,0,0,1,1
"228",0,68,66,85,100,178,7,0,0,100,0,43,22,8,0,0,1,2
"229",0,62,68,45,93,84,11,0,0,87,31,60,30,6,0,0,0,2
"230",0,76,0,68,94,147,4,0,0,50,26,49,35,6,0,0,0,2
"231",0,72,4,77,73,113,2,0,0,60,36,15,26,2,0,0,0,2
"232",0,69,46,27,88,51,2,0,0,80,0,50,8,7,0,0,1,2
"233",0,76,46,81,100,232,1,0,0,75,0,35,20,8,0,0,1,1
"234",0,82,11,52,100,190,0,0,0,47,0,23,26,8,0,0,1,2
"235",0,60,59,74,95,349,3,0,0,73,4,58,19,4,0,0,0,1
"236",0,63,74,68,91,189,0,0,0,69,34,43,23,5,0,0,0,2
"237",0,69,8,85,90,132,0,0,0,70,10,25,20,6,0,0,0,2
"238",0,89,15,71,100,290,0,0,0,33,0,0,29,8,0,0,1,1
"239",0,69,35,69,100,196,1,0,0,50,0,30,31,8,0,0,1,2
"240",0,63,62,50,81,326,2,0,0,50,24,44,16,2,0,0,0,1
"241",0,75,17,94,98,294,2,0,0,61,0,35,40,6,0,0,1,1
"242",0,76,20,49,100,94,4,0,0,40,0,33,30,8,0,0,1,2
"243",0,74,55,58,96,151,0,0,0,58,80,33,24,6,0,0,0,2
"244",0,60,40,87,93,0,2,0,0,94,2,7,0,6,1,0,0,2
"245",0,69,97,77,100,231,5,0,0,100,0,14,70,8,0,0,1,1
"246",0,65,25,91,91,302,0,0,0,67,11,44,45,2,0,0,0,1
"247",0,66,67,17,100,28,2,0,0,100,0,60,5,8,0,0,1,2
"248",0,76,59,62,100,110,0,0,0,83,0,53,32,8,0,0,1,2
"249",0,71,11,56,93,106,1,0,0,45,7,30,30,6,0,0,0,2
"250",0,69,30,79,100,207,1,0,0,57,0,73,22,8,0,0,1,1
"251",0,57,50,67,96,132,5,0,0,81,6,55,14,6,0,0,0,2
"252",0,71,19,126,84,392,0,0,0,60,9,79,19,5,0,0,0,1
"253",0,69,45,89,100,345,0,0,0,65,0,19,31,8,0,0,1,1
"254",1,20,0,0,20,0,0,1,1,0,0,0,0,0,1,1,1,2
"255",0,70,53,68,94,188,1,0,0,80,17,47,17,2,0,0,0,2
"256",0,78,5,57,100,112,2,0,0,67,0,33,41,8,0,0,1,2
"257",0,84,32,77,100,133,2,0,0,60,0,38,32,7,0,0,1,2
"258",0,65,91,35,93,132,6,0,0,89,0,61,28,7,0,0,1,2
"259",0,72,20,76,100,154,2,0,0,48,0,13,12,8,0,0,1,2
"260",0,56,29,27,97,58,1,0,0,50,1,15,33,6,0,0,0,2
"261",0,92,1,137,100,325,0,0,0,38,0,31,16,8,0,0,1,1
"262",0,89,2,99,100,490,0,0,0,57,0,39,18,8,0,0,1,1
"263",1,20,0,0,20,0,0,1,1,0,0,0,0,0,1,1,1,2
"264",0,68,65,68,100,210,2,0,0,67,0,31,26,8,0,0,1,1
"265",0,85,1,71,100,141,0,0,0,44,0,21,16,8,0,0,1,2
"266",0,83,25,45,100,130,2,0,0,44,0,44,16,8,0,0,1,2
"267",0,78,43,54,100,92,0,0,0,63,0,14,16,8,0,0,1,2
"268",0,80,3,40,100,98,1,0,0,40,0,27,30,8,0,0,1,2
"269",0,59,46,40,85,80,2,0,0,100,2,69,13,3,0,0,0,2
"270",0,74,3,51,97,149,3,0,0,19,20,15,33,5,0,0,0,2
"271",0,68,41,64,90,135,0,0,0,82,12,52,21,5,0,0,0,2
"272",0,67,68,43,100,169,3,0,0,82,0,16,28,8,0,0,1,2
"273",0,89,0,118,100,323,0,0,0,50,0,40,15,8,0,0,1,1
"274",1,20,0,0,20,0,0,1,1,0,0,0,0,0,1,1,1,2
"275",0,73,47,81,100,167,4,0,0,73,0,38,29,8,0,0,1,2
"276",0,60,76,46,94,86,1,0,0,90,43,63,16,6,0,0,0,2
"277",0,50,13,63,59,130,0,0,0,88,1,12,17,2,0,0,0,2
"278",0,59,64,54,82,172,0,0,0,55,0,47,17,6,0,0,0,2
"279",0,72,6,57,97,188,3,0,0,65,34,56,36,6,0,0,0,2
"280",0,56,0,46,50,58,6,0,1,100,2,100,2,6,0,0,0,2
"281",0,77,32,92,94,180,0,0,0,67,37,56,25,6,0,0,0,2
"282",0,88,4,63,100,133,0,0,0,75,0,40,6,8,0,0,1,2
"283",0,79,30,72,100,178,1,0,0,29,0,9,11,8,0,0,1,2
"284",0,92,1,139,100,250,1,0,0,83,0,0,4,8,0,0,1,1
"285",0,71,1,39,97,71,0,0,0,26,11,13,32,6,0,0,0,2
"286",0,85,0,88,100,285,1,0,0,7,0,7,28,8,0,0,1,1
"287",0,72,58,44,92,78,0,0,0,86,55,15,13,3,0,0,0,2
"288",0,77,21,70,100,132,2,0,0,71,0,48,23,8,0,0,1,2
"289",0,80,6,86,100,390,0,0,0,44,0,24,29,8,0,0,1,1
"290",0,63,62,32,100,69,2,0,0,67,0,30,20,8,0,0,1,2
"291",0,86,13,125,100,212,0,0,0,43,0,25,12,8,0,0,1,1
"292",0,60,30,93,46,191,4,0,0,67,6,46,40,2,0,0,0,2
"293",0,85,0,77,93,231,0,0,0,38,67,20,15,5,0,0,0,1
"294",0,83,7,65,100,155,1,0,0,71,0,44,10,8,0,0,1,2
"295",0,82,28,79,100,203,0,0,0,39,0,29,50,7,0,0,1,1
"296",0,71,70,76,100,226,3,0,0,78,0,24,46,8,0,0,1,1
"297",0,67,31,37,88,118,0,0,0,67,70,42,26,2,0,0,0,2
"298",0,88,26,81,100,206,1,0,0,89,0,67,33,8,0,0,1,1
"299",0,80,18,91,100,10,1,0,0,33,0,0,1,8,0,0,1,2
"300",0,85,2,62,100,128,5,0,0,75,0,61,19,8,0,0,1,2
"301",1,20,0,0,20,0,0,1,1,0,0,0,0,0,1,1,1,2
"302",0,83,30,80,100,83,1,0,0,75,0,29,11,8,0,0,1,2
"303",1,20,0,0,20,0,0,1,1,0,0,0,0,0,1,1,1,2
"304",0,85,34,223,100,387,0,0,0,60,0,0,11,8,0,0,1,1
"305",0,90,3,94,100,190,1,0,0,67,0,27,15,8,0,0,1,2
"306",0,69,73,79,100,234,0,0,0,83,0,37,46,8,0,0,1,1
"307",0,77,10,86,67,157,0,0,0,100,21,67,3,6,0,0,0,2
"308",0,71,23,113,100,308,1,0,0,59,0,34,32,8,0,0,1,1
"309",0,55,22,51,76,106,1,0,0,67,2,57,22,2,0,0,0,2
"310",0,66,30,87,95,240,2,0,0,89,4,43,22,5,0,0,0,1
"311",0,82,0,45,100,115,0,0,0,50,0,63,16,8,0,0,1,2
"312",0,73,33,126,93,336,4,0,0,82,44,74,27,5,0,0,0,1
"313",0,68,85,54,87,106,1,0,0,100,51,65,31,2,0,0,0,2
"314",0,61,63,86,88,148,4,0,0,100,16,71,24,2,0,0,0,2
"315",1,20,0,0,20,0,0,1,1,0,0,0,0,0,1,1,1,2
"316",0,72,51,69,100,334,2,0,0,50,0,15,59,8,0,0,1,1
"317",0,84,22,92,100,304,2,0,0,86,0,40,30,8,0,0,1,1
"318",0,63,91,61,88,285,4,0,0,100,44,63,16,6,0,0,0,1
"319",0,71,26,76,86,383,1,0,0,67,11,29,24,4,0,0,0,1
"320",0,77,29,82,95,170,1,0,0,63,27,30,37,5,0,0,0,2
"321",0,59,43,72,94,183,1,0,0,63,4,37,35,6,0,0,0,2
"322",0,73,50,90,87,147,0,0,0,88,15,27,15,2,0,0,0,2
"323",0,66,93,100,65,287,1,0,0,100,21,45,20,5,0,0,0,1
"324",0,74,12,91,97,306,2,0,0,67,60,26,37,6,0,0,0,1
"325",0,88,11,92,100,161,0,0,0,43,0,40,25,8,0,0,1,2
"326",0,62,103,60,100,197,1,0,0,100,0,44,54,8,0,0,1,2
"327",0,75,17,97,100,176,0,0,0,67,0,21,34,8,0,0,1,2
"328",0,66,89,34,100,59,5,0,0,100,0,75,4,8,0,0,1,2
"329",0,73,19,62,89,158,0,0,0,80,13,37,19,2,0,0,0,2
"330",0,76,1,135,92,308,0,0,0,33,18,31,13,2,0,0,0,1
"331",0,89,17,116,100,243,0,0,0,100,0,17,6,8,0,0,1,1
"332",0,84,9,117,100,0,0,0,0,73,0,53,58,8,1,0,1,2
"333",0,74,59,49,100,108,0,0,0,67,0,32,19,8,0,0,1,2
"334",0,90,3,154,100,451,0,0,0,50,0,33,12,8,0,0,1,1
"335",1,20,0,0,20,0,0,1,1,0,0,0,0,0,1,1,1,2
"336",0,84,7,134,96,394,1,0,0,73,16,56,27,6,0,0,0,1
"337",0,62,48,62,86,113,0,0,0,75,5,38,21,2,0,0,0,2
"338",0,65,87,101,92,176,3,0,0,92,14,28,36,6,0,0,0,2
"339",0,59,85,38,100,168,1,0,0,94,0,38,21,8,0,0,1,2
"340",0,85,3,79,100,143,2,0,0,50,0,15,27,8,0,0,1,2
"341",0,64,51,69,83,149,1,0,0,100,9,25,25,3,0,0,0,2
"342",0,72,22,97,100,280,1,0,0,44,0,20,11,8,0,0,1,1
"343",0,71,17,66,96,114,0,0,0,50,1,41,46,6,0,0,0,2
"344",0,68,13,114,60,322,0,0,0,100,4,30,10,5,0,0,0,1
"345",0,77,10,59,93,179,2,0,0,45,59,56,45,6,0,0,0,2
"346",0,57,59,73,79,183,4,0,0,82,2,29,24,6,0,0,0,2
"347",0,89,9,87,100,151,0,0,0,60,0,50,14,8,0,0,1,2
"348",0,85,5,49,100,190,1,0,0,57,0,30,10,8,0,0,1,2
"349",0,75,21,59,100,209,3,0,0,89,0,29,28,8,0,0,1,1
"350",0,82,31,158,100,231,1,0,0,56,0,24,17,8,0,0,1,1
"351",0,60,35,57,96,163,8,0,0,47,22,44,47,5,0,0,0,2
"352",0,62,71,67,86,159,2,0,0,83,3,36,18,6,0,0,0,2
"353",0,73,46,23,100,59,0,0,0,63,0,8,13,8,0,0,1,2
"354",0,62,29,99,70,282,0,0,0,45,18,26,31,3,0,0,0,1
